order_id,order_date,customer_id,product_id,product_category,quantity,unit_price,discount,payment_method,order_status
ORD-10032,2026-03-06,CUST-150,PROD-062,Fashion,2,378.71,0.2,GCash,Completed
ORD-10033,2026-01-09,CUST-018,PROD-077,Home,4,687.44,0.2,Maya,Cancelled
ORD-10034,2026-03-21,CUST-153,PROD-006,Electronics,4,3321.13,0.2,Bank Transfer,Completed
ORD-10035,2026-01-27,CUST-240,PROD-034,Beauty,2,1401.51,0.05,Credit Card,Pending
ORD-10036,2026-01-10,CUST-081,PROD-097,Electronics,4,3143.68,0.2,GCash,Completed
ORD-10037,2026-03-06,CUST-138,PROD-028,Beauty,2,4672.97,0.0,Maya,Completed
ORD-10038,2026-02-26,CUST-073,PROD-021,Fashion,3,3097.22,0.2,GCash,Cancelled
ORD-10039,2026-01-14,CUST-077,PROD-085,Home,3,665.6,0.0,Bank Transfer,Completed
ORD-10040,2026-03-19,CUST-070,PROD-037,Home,3,1097.63,0.1,Bank Transfer,Pending
ORD-10041,2026-01-12,CUST-065,PROD-007,Sports,3,316.03,0.1,Maya,Completed
ORD-10042,2026-02-26,CUST-042,PROD-095,Fashion,4,2848.44,0.0,GCash,Completed
ORD-10043,2026-02-17,CUST-140,PROD-005,Fashion,5,825.66,0.05,GCash,Completed
ORD-10044,2026-02-15,CUST-094,PROD-006,Home,2,3367.97,0.1,Bank Transfer,Pending
ORD-10045,2026-01-20,CUST-250,PROD-080,Home,2,4883.41,0.05,Debit Card,Completed
ORD-10046,2026-02-12,CUST-046,PROD-095,Sports,2,1407.35,0.0,Debit Card,Completed
ORD-10047,2026-01-29,CUST-220,PROD-061,Home,4,1813.33,0.05,Maya,Completed
ORD-10048,2026-02-21,CUST-169,PROD-025,Beauty,3,4335.33,0.1,Credit Card,Cancelled
ORD-10049,2026-03-10,CUST-103,PROD-087,Beauty,1,665.17,0.1,Maya,Cancelled
ORD-10050,2026-01-05,CUST-247,PROD-034,Electronics,5,2229.36,0.1,Debit Card,Cancelled
ORD-10051,2026-02-19,CUST-131,PROD-015,Fashion,2,1348.14,0.15,GCash,Cancelled
ORD-10052,2026-03-29,CUST-237,PROD-069,Home,3,2213.36,0.1,Bank Transfer,Completed
ORD-10053,2026-02-08,CUST-170,PROD-016,Fashion,3,3367.78,0.1,Debit Card,Completed
ORD-10054,2026-01-25,CUST-142,PROD-017,Sports,4,3418.86,0.05,Bank Transfer,Cancelled
ORD-10055,2026-03-12,CUST-078,PROD-052,Electronics,3,1505.88,0.15,Bank Transfer,Cancelled
ORD-10056,2026-03-01,CUST-168,PROD-042,Sports,4,3410.57,0.2,Debit Card,Completed
ORD-10057,2026-02-06,CUST-169,PROD-011,Fashion,5,1742.42,0.05,Credit Card,Completed
ORD-10058,2026-01-19,CUST-207,PROD-026,Electronics,1,1299.73,0.15,Bank Transfer,Completed
ORD-10059,2026-03-22,CUST-117,PROD-054,Fashion,2,3619.89,0.15,Debit Card,Pending
ORD-10060,2026-03-25,CUST-063,PROD-019,Electronics,1,3914.26,0.05,Maya,Cancelled
ORD-10061,2026-03-13,CUST-119,PROD-007,Home,1,2336.66,0.15,Bank Transfer,Cancelled
ORD-10062,2026-02-26,CUST-153,PROD-041,Fashion,5,2191.03,0.2,Debit Card,Completed
ORD-10063,2026-02-27,CUST-191,PROD-061,Beauty,2,4215.33,0.1,Bank Transfer,Pending
ORD-10064,2026-02-05,CUST-161,PROD-031,Sports,1,3596.37,0.05,Credit Card,Completed
ORD-10065,2026-01-11,CUST-082,PROD-070,Home,2,1233.18,0.05,Maya,Completed
ORD-10066,2026-02-12,CUST-107,PROD-053,Fashion,4,2137.29,0.05,Debit Card,Pending
ORD-10067,2026-03-16,CUST-232,PROD-099,Electronics,5,1963.87,0.0,Credit Card,Completed
ORD-10068,2026-02-23,CUST-193,PROD-050,Fashion,5,4019.35,0.05,Debit Card,Completed
ORD-10069,2026-03-04,CUST-070,PROD-056,Electronics,4,1747.03,0.15,Maya,Pending
ORD-10070,2026-03-21,CUST-236,PROD-017,fashion,1,4543.95,0.2,Bank Transfer,Completed
ORD-10071,2026-02-24,CUST-022,PROD-083,Home,4,990.47,0.1,Debit Card,Completed
ORD-10072,2026-02-11,CUST-055,PROD-059,Beauty,4,1463.46,0.15,Credit Card,Completed
ORD-10073,2026-03-11,CUST-121,PROD-003,Electronics,3,1198.69,0.0,GCash,Completed
ORD-10074,2026-01-26,CUST-244,PROD-032,Electronics,5,846.67,0.05,Debit Card,Completed
ORD-10075,2026-03-01,CUST-145,PROD-028,Beauty,3,922.17,0.2,GCash,Completed
ORD-10076,2026-01-14,,PROD-040,Fashion,1,4651.55,0.2,Debit Card,Pending
ORD-10077,2026-01-26,CUST-242,PROD-092,Electronics,5,3484.01,0.05,GCash,Completed
ORD-10078,2026-03-18,CUST-218,PROD-088,Electronics,5,3934.91,0.1,Bank Transfer,Pending
ORD-10079,2026-01-09,CUST-170,PROD-048,Fashion,3,162.0,0.15,Debit Card,Completed
ORD-10080,2026-03-23,CUST-111,PROD-047,Sports,2,2233.89,0.2,Credit Card,Cancelled
ORD-10081,2026-03-03,CUST-207,PROD-069,Sports,4,4146.1,0.2,Credit Card,Completed
ORD-10082,2026-01-12,CUST-219,PROD-032,Beauty,4,1294.93,0.15,Bank Transfer,Cancelled
ORD-10083,2026-02-13,CUST-172,PROD-049,Electronics,4,4269.67,0.05,Debit Card,Completed
ORD-10084,2026-02-13,CUST-091,PROD-034,Beauty,5,3535.8,0.1,Bank Transfer,Completed
ORD-10085,2026-01-11,CUST-133,PROD-025,Home,4,2494.03,0.05,Debit Card,Pending
ORD-10086,2026-01-12,CUST-115,PROD-003,Beauty,2,2081.57,0.05,Credit Card,Cancelled
ORD-10087,2026-03-12,CUST-095,PROD-061,Fashion,3,2184.97,0.2,Credit Card,Completed
ORD-10088,2026-02-04,CUST-180,PROD-059,Beauty,3,1229.64,0.05,Credit Card,Completed
ORD-10089,2026-03-30,CUST-191,PROD-069,Home,2,1160.28,0.15,Credit Card,Cancelled
ORD-10090,2026-03-18,CUST-195,PROD-068,Beauty,1,4179.88,0.1,Maya,Completed
ORD-10091,2026-01-02,CUST-046,PROD-039,Fashion,2,1444.13,0.0,Bank Transfer,Completed
ORD-10092,2026-03-23,CUST-179,PROD-017,Sports,1,4376.33,0.2,Credit Card,Pending
ORD-10093,2026-02-13,CUST-123,PROD-057,Home,1,,0.15,GCash,Completed
ORD-10094,2026-01-10,CUST-103,PROD-063,Fashion,1,843.46,0.2,Credit Card,Completed
ORD-10095,2026-03-13,CUST-064,PROD-016,Sports,5,3021.02,0.2,Maya,Cancelled
ORD-10096,2026-02-26,CUST-098,PROD-058,Beauty,5,4951.15,0.1,Bank Transfer,Cancelled
ORD-10097,2026-01-13,CUST-016,PROD-079,Home,2,1396.77,0.0,Maya,Completed
ORD-10098,2026-01-10,CUST-045,PROD-071,Home,1,2101.74,0.2,Debit Card,Completed
ORD-10099,2026-02-06,CUST-009,PROD-030,Beauty,4,448.78,0.05,Credit Card,Cancelled
ORD-10100,2026-02-24,CUST-170,PROD-026,Electronics,5,,0.05,Credit Card,Completed
ORD-10101,2026-01-22,CUST-019,PROD-008,Beauty,5,3769.89,0.2,Credit Card,Pending
ORD-10102,2026-03-30,CUST-032,PROD-060,Beauty,4,4719.11,0.2,Bank Transfer,Pending
ORD-10103,2026-03-18,CUST-113,PROD-011,Electronics,4,3699.22,0.2,Credit Card,Completed
ORD-10104,2026-03-28,CUST-024,PROD-030,Fashion,5,4758.85,0.1,Bank Transfer,Completed
ORD-10105,2026-01-23,CUST-196,PROD-097,sports,5,3292.4,0.1,Maya,Cancelled
ORD-10106,2026-03-04,CUST-112,PROD-082,Electronics,4,1805.01,0.1,Credit Card,Completed
ORD-10107,2026-02-12,CUST-220,PROD-021,Sports,4,1512.27,0.15,Bank Transfer,Completed
ORD-10108,2026-02-10,CUST-117,PROD-012,Beauty,3,668.02,0.15,Bank Transfer,Completed
ORD-10109,2026-03-01,CUST-169,PROD-070,Sports,1,1019.15,0.1,Bank Transfer,Pending
ORD-10110,2026-01-07,CUST-161,PROD-057,Home,3,2791.18,0.1,Debit Card,Pending
ORD-10111,2026-03-22,CUST-032,PROD-004,Fashion,2,3577.94,0.1,Bank Transfer,Completed
ORD-10112,2026-01-12,CUST-142,PROD-053,Home,1,2361.09,0.0,Maya,Pending
ORD-10113,2026-02-07,CUST-239,PROD-092,Fashion,3,2135.9,0.15,Debit Card,Completed
ORD-10114,2026-01-19,CUST-117,PROD-071,Sports,2,4617.15,0.2,Maya,Completed
ORD-10115,2026-02-23,CUST-071,PROD-099,Beauty,5,1409.15,0.0,Credit Card,Completed
ORD-10116,2026-03-16,CUST-215,PROD-076,Sports,2,2288.08,0.15,Credit Card,Completed
ORD-10117,2026-03-11,CUST-142,PROD-098,Sports,4,4670.98,0.05,Maya,Cancelled
ORD-10118,2026-02-22,CUST-099,PROD-030,Electronics,3,3749.06,0.15,Debit Card,Completed
ORD-10119,2026-01-17,CUST-127,PROD-005,Fashion,5,1726.77,0.0,Debit Card,Completed
ORD-10120,2026-01-02,CUST-135,PROD-059,Home,4,4367.57,0.05,GCash,Pending
ORD-10121,2026-02-13,CUST-201,PROD-034,Fashion,4,3284.2,0.1,Bank Transfer,Pending
ORD-10122,2026-03-22,CUST-245,PROD-041,Sports,5,275.91,0.0,Maya,Completed
ORD-10123,2026-01-12,CUST-059,PROD-096,Sports,1,3825.81,0.0,Debit Card,Completed
ORD-10124,2026-01-04,CUST-178,PROD-039,Electronics,3,4001.1,0.1,Credit Card,Completed
ORD-10125,2026-02-01,CUST-111,PROD-019,Fashion,4,2873.05,0.05,Maya,Completed
ORD-10126,2026-02-18,CUST-021,PROD-079,Fashion,2,2538.57,0.2,Maya,Completed
ORD-10127,2026-02-02,CUST-119,PROD-082,Sports,3,3367.52,0.15,Credit Card,Cancelled
ORD-10128,2026-02-26,CUST-041,PROD-010,Beauty,5,1565.86,0.15,Credit Card,Pending
ORD-10129,2026-01-26,CUST-217,PROD-039,Sports,4,622.6,0.15,Bank Transfer,Completed
ORD-10130,2026-03-31,CUST-148,PROD-038,Beauty,1,4891.93,0.15,Credit Card,Completed
ORD-10131,2026-01-07,CUST-145,PROD-088,Fashion,4,4180.91,0.1,Maya,Cancelled
ORD-10132,2026-01-29,CUST-206,PROD-046,Home,5,1328.07,0.05,GCash,Completed
ORD-10133,2026-01-05,CUST-080,PROD-057,Fashion,3,3688.56,0.0,Credit Card,Completed
ORD-10134,2026-01-23,CUST-192,PROD-054,Home,2,3953.91,0.1,Bank Transfer,Cancelled
ORD-10135,2026-01-22,CUST-234,PROD-035,Beauty,4,4840.18,0.1,Credit Card,Completed
ORD-10136,2026-01-19,,PROD-010,Home,4,4839.62,0.2,Credit Card,Completed
ORD-10137,2026-01-02,CUST-203,PROD-051,Beauty,5,705.58,0.1,Credit Card,Cancelled
ORD-10138,2026-02-17,CUST-098,PROD-082,Electronics,2,2410.24,0.2,Bank Transfer,Completed
ORD-10139,2026-01-29,CUST-235,PROD-079,Electronics,4,4556.0,0.1,Debit Card,Completed
ORD-10140,2026-01-05,CUST-036,PROD-006,Beauty,4,668.99,0.05,Bank Transfer,Completed
ORD-10141,2026-02-17,CUST-100,PROD-059,Fashion,4,2977.97,0.05,Debit Card,Completed
ORD-10142,2026-03-20,CUST-214,PROD-063,Sports,3,260.31,0.1,Maya,Pending
ORD-10143,2026-02-16,CUST-114,PROD-031,Electronics,3,2767.88,0.1,GCash,Pending
ORD-10144,2026-01-16,CUST-071,PROD-025,Sports,1,3347.57,0.2,GCash,Completed
ORD-10145,2026-02-01,CUST-202,PROD-043,Home,5,1105.51,0.2,Maya,Cancelled
ORD-10146,2026-02-12,CUST-056,PROD-030,Home,5,113.89,0.05,Maya,Cancelled
ORD-10147,2026-01-15,CUST-065,PROD-023,Electronics,2,172.82,0.05,Bank Transfer,Completed
ORD-10148,2026-02-03,CUST-005,PROD-023,Electronics,2,3734.42,0.2,gcash,Completed
ORD-10149,2026-02-16,CUST-122,PROD-058,Fashion,5,634.36,0.2,Maya,Cancelled
ORD-10150,2026-03-26,CUST-012,PROD-094,Fashion,3,2344.41,0.0,GCash,Pending
ORD-10151,2026-02-24,CUST-217,PROD-052,Electronics,4,3590.77,0.15,GCash,Completed
ORD-10152,2026-01-19,CUST-083,PROD-078,Electronics,2,1447.58,0.2,Bank Transfer,Completed
ORD-10153,2026-03-09,CUST-098,PROD-077,Beauty,4,2577.2,0.15,GCash,Completed
ORD-10154,2026-03-25,CUST-219,PROD-084,Fashion,2,2207.34,0.05,Debit Card,Completed
ORD-10155,2026-02-21,CUST-212,PROD-059,Sports,1,1631.49,0.1,Credit Card,Completed
ORD-10156,2026-03-29,CUST-245,PROD-020,Sports,1,547.0,0.0,GCash,Pending
ORD-10157,2026-02-17,CUST-025,PROD-096,Home,5,393.91,0.2,Bank Transfer,Completed
ORD-10158,2026-02-22,CUST-172,PROD-016,Beauty,4,4353.65,0.0,Credit Card,Cancelled
ORD-10159,2026-01-14,CUST-080,PROD-046,Fashion,5,1142.42,0.15,Maya,Completed
ORD-10160,2026-02-17,CUST-090,PROD-072,Electronics,3,2913.09,0.15,Bank Transfer,Cancelled
ORD-10161,2026-03-24,CUST-158,PROD-087,Fashion,1,3084.08,0.1,GCash,Completed
ORD-10162,2026-02-09,CUST-070,PROD-090,Beauty,3,129.92,0.05,Bank Transfer,Pending
ORD-10163,2026-03-23,CUST-018,PROD-019,Electronics,1,3755.95,0.05,Debit Card,Pending
ORD-10164,2026-01-21,CUST-117,PROD-044,Beauty,3,3635.82,0.2,Bank Transfer,Completed
ORD-10165,2026-01-20,CUST-227,PROD-007,Home,5,343.84,0.0,Credit Card,Pending
ORD-10166,2026-03-04,CUST-170,PROD-055,Fashion,4,2129.5,0.05,Bank Transfer,Completed
ORD-10167,2026-01-15,CUST-089,PROD-056,Beauty,5,2484.5,0.1,GCash,Completed
ORD-10168,2026-01-08,CUST-102,PROD-077,Electronics,2,1576.95,0.05,Maya,Completed
ORD-10169,2026-01-16,CUST-075,PROD-042,Electronics,4,3760.37,0.05,Maya,Pending
ORD-10170,2026-01-30,CUST-137,PROD-091,Fashion,5,4183.44,0.1,GCash,Pending
ORD-10171,2026-01-06,CUST-221,PROD-095,Sports,1,2352.8,0.0,Credit Card,Cancelled
ORD-10172,2026-02-21,CUST-110,PROD-074,Sports,3,664.35,0.0,Credit Card,Completed
ORD-10173,2026-02-28,CUST-206,PROD-080,Beauty,1,2239.89,0.0,Maya,Pending
ORD-10174,2026-03-09,CUST-151,PROD-052,Electronics,4,4365.57,0.1,Maya,Completed
ORD-10175,2026-01-10,CUST-200,PROD-022,Fashion,1,2699.96,0.05,Credit Card,Completed
ORD-10176,2026-01-19,CUST-187,PROD-083,Home,1,817.58,0.05,Maya,Cancelled
ORD-10177,2026-03-25,CUST-040,PROD-098,Electronics,2,4761.33,0.15,Debit Card,Cancelled
ORD-10178,2026-02-27,CUST-195,PROD-075,Fashion,5,1683.72,0.1,Maya,Pending
ORD-10179,2026-02-26,CUST-018,PROD-061,Beauty,3,2997.96,0.1,Bank Transfer,Completed
ORD-10180,2026-02-27,CUST-080,PROD-060,Electronics,1,1906.81,0.1,GCash,Completed
ORD-10181,2026-03-06,CUST-158,PROD-077,Sports,4,2943.61,0.0,Debit Card,Cancelled
ORD-10182,2026-02-11,CUST-167,PROD-025,Fashion,4,2556.7,0.0,Debit Card,Completed
ORD-10183,2026-01-11,CUST-208,PROD-044,Fashion,2,291.8,0.15,Debit Card,Cancelled
ORD-10184,2026-01-21,CUST-134,PROD-079,Beauty,3,4597.89,0.15,Debit Card,Completed
ORD-10185,2026-01-07,CUST-174,PROD-077,Beauty,1,1715.48,0.2,Debit Card,Completed
ORD-10186,2026-03-26,CUST-065,PROD-093,Fashion,2,1733.47,0.2,Maya,Completed
ORD-10187,2026-03-31,CUST-080,PROD-084,Sports,2,3015.7,0.0,Credit Card,Cancelled
ORD-10188,2026-02-12,CUST-097,PROD-083,Home,5,557.92,0.15,Bank Transfer,Completed
ORD-10189,2026-02-09,CUST-005,PROD-047,Home,2,1774.49,0.15,Maya,Completed
ORD-10190,2026-01-10,CUST-036,PROD-020,Beauty,1,2587.68,0.2,Bank Transfer,Completed
ORD-10191,2026-03-21,CUST-170,PROD-044,Home,5,1945.93,0.05,Maya,Cancelled
ORD-10192,2026-02-26,CUST-208,PROD-022,Electronics,4,1885.07,0.05,Debit Card,Cancelled
ORD-10193,2026-02-27,CUST-073,PROD-097,Home,5,1271.93,0.15,Maya,Completed
ORD-10194,2026-02-26,CUST-174,PROD-074,Sports,3,3912.81,0.2,Bank Transfer,Pending
ORD-10195,2026-01-26,CUST-248,PROD-021,Fashion,2,4377.71,0.0,Debit Card,Completed
ORD-10196,2026-03-08,CUST-142,PROD-014,electronics,3,510.99,0.05,Credit Card,Pending
ORD-10197,2026-01-19,CUST-232,PROD-066,Sports,1,4737.42,0.05,Debit Card,Completed
ORD-10198,2026-02-23,CUST-239,PROD-004,Electronics,4,2559.83,0.05,Debit Card,Completed
ORD-10199,2026-01-04,CUST-096,PROD-029,Beauty,1,4211.96,0.1,Maya,Completed
ORD-10200,2026-03-02,CUST-010,PROD-037,Home,4,2298.15,0.0,GCash,Completed
ORD-10201,2026-01-20,CUST-066,PROD-028,Fashion,5,2686.08,0.0,Credit Card,Completed
ORD-10202,2026-01-07,CUST-078,PROD-016,Home,4,3230.86,0.2,Debit Card,Completed
ORD-10203,2026-03-18,CUST-029,PROD-064,Fashion,1,3196.58,0.2,Maya,Completed
ORD-10204,2026-01-01,CUST-075,PROD-055,Fashion,3,1278.76,0.15,Maya,Completed
ORD-10205,2026-01-09,CUST-135,PROD-047,Fashion,5,2585.91,0.2,Bank Transfer,Completed
ORD-10206,2026-01-06,CUST-100,PROD-061,Sports,3,1342.89,0.0,Credit Card,Completed
ORD-10207,2026-03-26,CUST-089,PROD-031,Electronics,5,3702.42,0.1,Maya,Completed
ORD-10208,2026-02-13,CUST-091,PROD-070,Home,4,4906.01,0.15,Maya,Completed
ORD-10209,2026-02-28,CUST-017,PROD-092,Electronics,0,1087.8,0.05,GCash,Completed
ORD-10210,2026-03-07,CUST-239,PROD-040,Sports,5,2419.66,0.0,Maya,Completed
ORD-10211,2026-01-07,CUST-092,PROD-100,beauty,3,709.93,0.1,Debit Card,Pending
ORD-10212,2026-02-19,CUST-191,PROD-057,Beauty,2,2531.4,0.15,Credit Card,Cancelled
ORD-10213,2026-02-24,CUST-069,PROD-011,Electronics,4,3052.02,0.05,Bank Transfer,Completed
ORD-10214,2026-01-11,CUST-083,PROD-014,Beauty,3,1601.83,0.2,Debit Card,Completed
ORD-10215,2026-02-14,CUST-177,PROD-057,Sports,1,3661.39,0.1,Bank Transfer,Pending
ORD-10216,2026-01-08,CUST-071,PROD-082,Electronics,4,1880.22,0.05,GCash,Completed
ORD-10217,2026-03-28,CUST-218,PROD-078,Sports,1,718.53,0.05,Credit Card,Completed
ORD-10218,2026-01-05,CUST-099,PROD-073,Fashion,2,3427.4,0.1,Credit Card,Pending
ORD-10219,2026-03-15,CUST-196,PROD-010,Home,5,1898.05,0.1,Credit Card,Completed
ORD-10220,2026-01-04,CUST-246,PROD-015,Home,4,2636.95,0.2,GCash,Completed
ORD-10221,2026-02-27,CUST-199,PROD-034,Home,5,1499.33,0.15,Maya,Completed
ORD-10222,2026-02-27,CUST-035,PROD-010,Home,4,4986.59,0.1,Credit Card,Completed
ORD-10223,2026-02-07,CUST-141,PROD-070,Beauty,2,3587.86,0.05,Credit Card,Cancelled
ORD-10224,2026-01-26,CUST-058,PROD-016,Home,2,3972.83,0.0,Credit Card,Cancelled
ORD-10225,2026-03-01,CUST-147,PROD-048,Fashion,2,3098.55,0.0,GCash,Completed
ORD-10226,2026-03-03,CUST-102,PROD-092,Fashion,4,3868.91,0.2,GCash,Completed
ORD-10227,2026-03-24,CUST-249,PROD-041,Electronics,4,2382.58,0.2,Credit Card,Completed
ORD-10228,2026-03-12,CUST-225,PROD-100,Fashion,2,3862.13,0.05,Debit Card,Cancelled
ORD-10229,2026-01-16,CUST-234,PROD-008,Fashion,2,1590.21,0.05,Credit Card,Completed
ORD-10230,2026-02-06,CUST-089,PROD-067,Electronics,3,1061.88,0.2,Credit Card,Completed
ORD-10231,2026-03-20,CUST-161,PROD-039,Fashion,1,2562.61,0.05,Bank Transfer,Cancelled
ORD-10232,2026-03-26,CUST-040,PROD-022,Fashion,5,1754.34,0.2,GCash,Completed
ORD-10233,2026-03-24,CUST-021,PROD-006,Fashion,3,3290.54,0.2,Debit Card,Cancelled
ORD-10234,2026-03-05,CUST-164,PROD-004,Fashion,3,3245.35,0.1,Debit Card,Completed
ORD-10235,2026-02-21,CUST-207,PROD-088,Beauty,4,457.57,0.0,Maya,Pending
ORD-10236,2026-03-01,CUST-107,PROD-062,Home,3,3072.64,0.1,Credit Card,Completed
ORD-10237,2026-01-17,CUST-250,PROD-052,Beauty,5,2852.09,0.1,Maya,Pending
ORD-10238,2026-02-27,CUST-032,PROD-035,Home,2,574.38,0.1,Debit Card,Cancelled
ORD-10239,2026-01-21,CUST-108,PROD-032,Beauty,5,3633.53,0.05,Maya,Pending
ORD-10240,2026-03-05,CUST-132,PROD-060,Beauty,4,213.56,0.15,Bank Transfer,Pending
ORD-10241,2026-01-28,CUST-248,PROD-031,Fashion,3,338.42,0.1,Debit Card,Cancelled
ORD-10242,2026-03-28,CUST-226,PROD-084,Sports,3,2729.78,0.0,Debit Card,Completed
ORD-10243,2026-02-16,CUST-226,PROD-034,Sports,3,321.69,0.0,Bank Transfer,Cancelled
ORD-10244,2026-03-12,CUST-050,PROD-047,Beauty,1,1993.11,0.15,Bank Transfer,Completed
ORD-10245,2026-03-29,CUST-212,PROD-080,Fashion,1,730.45,0.0,Debit Card,Completed
ORD-10246,2026-03-13,CUST-204,PROD-044,Beauty,2,1075.38,0.2,Debit Card,Cancelled
ORD-10247,2026-01-05,CUST-011,PROD-006,Home,3,4039.43,0.2,Debit Card,Completed
ORD-10248,2026-01-18,CUST-156,PROD-066,Beauty,5,1660.8,0.15,Bank Transfer,Completed
ORD-10249,2026-03-06,CUST-152,PROD-044,Fashion,5,2500.25,0.2,Credit Card,Pending
ORD-10250,2026-02-17,CUST-209,PROD-003,Beauty,1,4901.5,0.2,Credit Card,Completed
ORD-10251,2026-02-03,CUST-153,PROD-061,Fashion,5,1214.96,0.0,Bank Transfer,Pending
ORD-10252,2026-03-22,CUST-044,PROD-068,Fashion,4,824.1,0.05,GCash,Cancelled
ORD-10253,2026-01-15,CUST-243,PROD-090,Home,1,2261.09,0.15,Maya,Pending
ORD-10254,2026-02-22,CUST-177,PROD-027,Fashion,5,4610.55,0.0,Maya,Cancelled
ORD-10255,2026-02-11,CUST-054,PROD-072,Sports,5,1946.44,0.05,Debit Card,Cancelled
ORD-10256,2026-02-15,CUST-088,PROD-070,Beauty,5,2472.48,0.05,Credit Card,Cancelled
ORD-10257,2026-02-08,CUST-077,PROD-029,Beauty,2,3482.18,0.15,Credit Card,Pending
ORD-10258,2026-02-05,CUST-090,PROD-072,Beauty,1,2910.04,0.2,Debit Card,Pending
ORD-10259,2026-01-19,CUST-210,PROD-045,Beauty,1,1509.39,0.0,Credit Card,Pending
ORD-10260,2026-03-03,CUST-168,PROD-033,Home,2,4156.96,0.1,Bank Transfer,Completed
ORD-10261,2026-03-20,CUST-036,PROD-014,Fashion,2,1288.04,0.2,Maya,Completed
ORD-10262,2026-02-22,CUST-014,PROD-013,Beauty,4,592.67,0.05,GCash,Cancelled
ORD-10263,2026-02-22,CUST-238,PROD-021,Sports,4,3287.64,0.1,Credit Card,Completed
ORD-10264,2026-01-12,CUST-166,PROD-008,Fashion,2,,0.0,Maya,Pending
ORD-10265,2026-01-05,CUST-226,PROD-023,Sports,4,1012.93,0.1,GCash,Completed
ORD-10266,2026-03-19,CUST-077,PROD-073,Electronics,3,1494.35,0.2,Bank Transfer,Pending
ORD-10267,2026-03-06,CUST-228,PROD-018,Sports,3,1044.78,0.0,Credit Card,Completed
ORD-10268,2026-03-24,CUST-188,PROD-059,Beauty,2,169.01,0.1,Credit Card,Cancelled
ORD-10269,2026-01-25,CUST-173,PROD-097,Home,5,4295.12,0.15,Debit Card,Cancelled
ORD-10270,2026-02-21,CUST-084,PROD-012,Electronics,2,4910.26,0.15,Credit Card,Completed
